group,xatc_total_m,nphot_total,data_mb,n_granules,xatc_water,pct_xatc_water,depth_90pctl,elev_mean,log_qual_mean,doy_mean
total,12242399594.047,170970668602.0,31454944.515785217,11304.0,4209735.0,0.03438651848978226,12.149371823770402,981.138822897035,1.175578577190942,203.92440838404326
CE,984594052.426,25281148521.0,3115250.7829818726,902.0,163665.0,0.016622586699232646,11.965936707765737,1349.6946524919072,1.0615939520762394,202.0081300813008
CW,823758924.592,8372162561.0,1551389.0197486877,532.0,729780.0,0.08859145293769692,12.596209984711717,1164.3330571774454,1.3630377339633588,198.7662213740458
NE,2769507754.537,39612491655.0,6408843.2043886185,2245.0,1038800.0,0.0375084705322901,11.269270747155089,782.0028809570468,1.1157389040020105,208.4099099099099
NO,3306320679.938,38812435147.0,12591953.160255432,4930.0,759570.0,0.02297327069962988,10.898491593709027,678.1715698713555,1.120981076343974,204.0361204013378
NW,2128533469.836,31017401293.0,4572172.6926698685,1486.0,700150.0,0.032893539609407475,15.940343636406624,878.6793623821598,1.2572760394013374,210.9843621399177
SE,714137146.249,14939606125.0,1579615.436717987,646.0,12240.0,0.001713956494812027,9.598808752742036,1095.409967726461,0.9888665588975784,204.05263157894737
SW,1515547566.469,12935423300.0,1635720.2190227509,563.0,805530.0,0.053151086631795054,9.278767024682438,1392.9426458230919,1.135230773772171,196.63204951856946
2019,2259660614.714,31033211136.0,5198777.606711388,2083.0,1129105.0,0.04996790193393303,13.811320339435177,1066.7983818040377,1.2299640853530476,199.1594684385382
2020,2522612648.88,32082707309.0,6029417.925368309,2329.0,759050.0,0.03008983564468394,12.311790820670913,944.0727299063684,1.1856557772608212,199.57473684210527
2021,2457306941.366,39032148966.0,7222612.5417432785,2283.0,835860.0,0.034015286650976986,10.875664803782527,991.1858448525506,1.2050908884491043,207.69895287958116
2022,2506307943.279,34586370422.0,6593100.565668106,2305.0,701575.0,0.027992370286395465,11.707669601126003,889.6883142070565,1.0855777159568005,209.05598159509202
2023,2496511445.808,34236230769.0,6411035.876294136,2304.0,784145.0,0.0314096296781131,11.29702754798665,982.6535623184737,1.145312866685316,205.6846846846847
